vendor_id,vendor_name,parent_company_group,year,total_spend_inr,po_count,avg_po_value_inr,category_count,plant_count,spend_rank,cumulative_spend_pct,is_tail,tail_tier
0000014652,Prime Marketing,GRP-013,2023,5658403910.27,27,64300044.43,4,6,1,7.4,False,Strategic
0000015001,National Agencies,IND-0000015001,2023,2724771807.27,9,71704521.24,1,2,2,10.96,False,Strategic
0000013867,Global Industrial,IND-0000013867,2023,2466248503.21,18,37942284.66,1,2,3,14.18,False,Strategic
0000014585,Techno Bearings & Sons,IND-0000014585,2023,2162897731.33,9,60080492.54,1,1,4,17.01,False,Strategic
0000013637,Deccan Engineering,IND-0000013637,2023,1445003679.14,17,24913856.54,1,2,5,18.89,False,Strategic
0000013109,Northern Corporation Corporation,IND-0000013109,2023,1317014249.72,24,14161443.55,1,3,6,20.62,False,Managed
0000012470,Weir Minerals Netherlands,IND-0000012470,2023,1284526235.01,22,18091918.8,2,6,7,22.29,False,Managed
0000012479,BASF SE,IND-0000012479,2023,1262487072.81,2,315621768.2,2,2,8,23.94,False,Managed
0000014642,National Packaging,IND-0000014642,2023,1231661792.28,25,13996156.73,2,3,9,25.55,False,Managed
0000013717,United Polymers & Co,IND-0000013717,2023,1158031860.56,52,6328042.95,1,6,10,27.07,False,Managed
0000012852,New Safety India Pvt Ltd,IND-0000012852,2023,1137283332.86,19,14040534.97,2,6,11,28.55,False,Managed
0000013995,Universal Fabricators Pvt Ltd,IND-0000013995,2023,1127433235.63,16,20498786.1,2,6,12,30.03,False,Managed
0000014138,Sai Agencies Industries,IND-0000014138,2023,1087472185.03,41,7154422.27,2,5,13,31.45,False,Managed
0000015057,Krishna Automation,GRP-016,2023,1080150391.55,26,11614520.34,4,6,14,32.86,False,Managed
0000014885,Universal Refractories Pvt Ltd,IND-0000014885,2023,1071552993.58,42,7096377.44,1,6,15,34.26,False,Managed
0000012914,Amar Steel & Co,IND-0000012914,2023,1059413982.89,18,16816094.97,2,6,16,35.65,False,Managed
0000013682,Balaji Automation Pvt Ltd,IND-0000013682,2023,1057351403.22,9,28577064.95,1,2,17,37.03,False,Managed
0000012826,National Rubber & Co,GRP-001,2023,1041002290.16,18,15537347.61,4,6,18,38.39,False,Managed
0000014242,Laxmi Industrial Ltd,IND-0000014242,2023,1040247075.18,22,12842556.48,1,4,19,39.75,False,Managed
0000013342,Hindustan Packaging,IND-0000013342,2023,1019115380.35,18,15210677.32,1,3,20,41.08,False,Managed
0000013456,Amar Marketing Pvt Ltd,IND-0000013456,2023,969470990.37,34,8430182.52,2,7,21,42.35,False,Managed
0000013501,Sri Marketing,IND-0000013501,2023,921510143.79,31,9500104.58,1,3,22,43.55,False,Managed
0000012390,ABB Power Products India,ABB GROUP,2023,913112023.63,15,13835030.66,2,5,23,44.74,False,Managed
0000013965,Sri Safety,IND-0000013965,2023,889808510.23,12,22815602.83,1,1,24,45.91,False,Managed
0000013131,Deccan Packaging Industries,GRP-004,2023,887449767.43,56,4797025.77,3,7,25,47.07,False,Managed
0000012348,Tata Steel BSL Ltd,TATA GROUP,2023,833863534.63,75,2936139.21,5,7,26,48.16,False,Managed
0000013568,United Safety,IND-0000013568,2023,805914058.48,18,14391322.47,2,5,27,49.21,False,Managed
0000014740,Standard Traders,GRP-014,2023,801151458.11,27,8614531.81,2,6,28,50.26,False,Monitored
0000013550,Sai Engineering & Sons,IND-0000013550,2023,771408094.0,14,16071001.96,1,6,29,51.27,False,Monitored
0000012838,Global Electricals,IND-0000012838,2023,755041319.85,11,22880040.0,1,1,30,52.25,False,Monitored
0000014186,Northern Hydraulics,IND-0000014186,2023,728539586.19,31,6504817.73,2,4,31,53.2,False,Monitored
0000013149,Universal Lubricants Industries,IND-0000013149,2023,708911808.93,27,7089118.09,1,6,32,54.13,False,Monitored
0000013120,Modern Hydraulics Pvt Ltd,IND-0000013120,2023,683978875.66,16,11592862.3,1,4,33,55.02,False,Monitored
0000014303,Balaji Automation,IND-0000014303,2023,661098629.66,15,13772888.12,2,4,34,55.89,False,Monitored
0000015105,Northern Agencies & Co,IND-0000015105,2023,653100144.53,16,11069493.98,1,2,35,56.74,False,Monitored
0000014406,Standard Lubricants Pvt Ltd,IND-0000014406,2023,638285359.63,25,7421922.79,1,1,36,57.58,False,Monitored
0000014942,Rajesh Alloys & Sons,IND-0000014942,2023,621527042.26,38,4316160.02,2,5,37,58.39,False,Monitored
0000014516,Om Fabricators Industries,IND-0000014516,2023,600490024.26,17,9238308.07,2,5,38,59.17,False,Monitored
0000012527,Voltas Ltd,IND-0000012527,2023,597687515.09,14,12716755.64,1,3,39,59.95,False,Monitored
0000012871,Prime Chemicals Pvt Ltd,IND-0000012871,2023,588170215.59,12,14004052.75,1,2,40,60.72,False,Monitored
0000013793,Western Rubber & Sons,IND-0000013793,2023,560972450.32,17,11686926.05,1,2,41,61.46,False,Monitored
0000013646,Ganga Agencies,IND-0000013646,2023,555468070.96,23,7823493.96,2,6,42,62.18,False,Monitored
0000014331,Krishna Enterprises & Co,IND-0000014331,2023,542569083.31,25,6383165.69,1,4,43,62.89,False,Monitored
0000013250,Northern Bearings Corporation,IND-0000013250,2023,491100956.52,4,30693809.78,1,2,44,63.53,False,Monitored
0000013615,Shree Steel,GRP-008,2023,488581362.9,21,7292259.15,2,5,45,64.17,False,Monitored
0000013544,Om Marketing,IND-0000013544,2023,484007924.14,10,13828797.83,1,3,46,64.8,False,Monitored
0000013481,Prime Industrial,IND-0000013481,2023,482896834.74,26,5888985.79,3,6,47,65.44,False,Monitored
0000013043,Indo Equipments,IND-0000013043,2023,468733294.68,17,7560214.43,2,5,48,66.05,False,Monitored
0000012345,Tata Steel Ltd,TATA GROUP,2023,461344266.82,46,2995741.99,4,7,49,66.65,False,Monitored
0000013031,Vijay Enterprises & Co,IND-0000013031,2023,453006842.01,15,7947488.46,2,4,50,67.24,False,Monitored
0000014672,Ganesh Alloys,IND-0000014672,2023,449076684.87,37,3564100.67,2,7,51,67.83,False,Monitored
0000014410,Rajesh Engineering & Co,IND-0000014410,2023,437029391.63,31,3468487.24,2,7,52,68.4,False,Monitored
