contract_number,vendor_id,category_code,plant_code,start_date,end_date,contract_value_inr,is_active
4600000001,0000012364,061,4400,2024-10-10,2026-10-10,226385680.49,True
4600000002,0000012915,009,7700,2023-02-18,2024-02-18,8849313.18,False
4600000003,0000012915,054,3300,2024-04-14,2025-04-14,74087.55,False
4600000004,0000014942,033,3300,2023-09-01,2024-08-31,8550679.43,False
4600000005,0000013253,014,3300,2023-05-09,2026-05-08,40508805.16,True
4600000006,0000014843,010,3300,2023-09-18,2025-09-17,339001.44,False
4600000007,0000014394,062,6600,2023-09-28,2025-09-27,448712.97,False
4600000008,0000012852,019,1100,2024-03-18,2026-03-18,1346623630.2,True
4600000009,0000013615,041,5500,2023-04-25,2026-04-24,266100.62,True
4600000010,0000013844,071,7700,2023-07-22,2026-07-21,5296.04,True
4600000011,0000012935,016,4400,2023-04-04,2026-04-03,47063.51,True
4600000012,0000015067,055,2200,2023-04-09,2026-04-08,2898933.57,True
4600000013,0000013101,050,5500,2023-08-08,2026-08-07,376460.03,True
4600000014,0000013452,074,4400,2024-07-08,2026-07-08,884244.24,True
4600000015,0000014354,051,2200,2024-04-29,2025-04-29,52109746.51,False
4600000016,0000013951,033,3300,2024-10-24,2025-10-24,573311537.96,False
4600000017,0000014971,050,5500,2024-10-06,2026-10-06,253788.24,True
4600000018,0000012786,050,1100,2024-06-03,2027-06-03,25674850.53,True
4600000019,0000014054,002,7700,2023-07-09,2025-07-08,145441227.78,False
4600000020,0000012876,074,4400,2024-03-26,2025-03-26,4494403.44,False
4600000021,0000013481,043,7700,2023-03-15,2026-03-14,16793687.26,True
4600000022,0000013506,071,1100,2023-07-28,2025-07-27,1113204.83,False
4600000023,0000013063,055,2200,2024-04-19,2026-04-19,506979.34,True
4600000024,0000012647,016,1100,2024-04-03,2026-04-03,15697004.51,True
4600000025,0000012770,057,1100,2023-11-06,2025-11-05,4036678.89,False
4600000026,0000012879,039,2200,2023-03-12,2024-03-11,19558474.57,False
4600000027,0000013140,057,2200,2023-12-05,2025-12-04,1771061.91,False
4600000028,0000013308,074,1100,2024-08-15,2026-08-15,3317205.71,True
4600000029,0000012419,043,6600,2024-02-13,2025-02-12,838040.06,False
4600000030,0000012817,003,6600,2024-11-19,2025-11-19,67681267.98,False
4600000031,0000013848,058,4400,2023-09-19,2026-09-18,3022749.84,True
