material_number,material_description,material_type,category_code
0000100000,Lead Concentrate Grade A,ROH,001
0000100001,Dolomite High Purity,ROH,001
0000100002,Bauxite Standard,ROH,001
0000100003,Copper Concentrate Calcined,ROH,001
0000100004,Lead Concentrate 40-80mm,ROH,001
0000100005,Dolomite Lumpy,ROH,001
0000100006,Lead Concentrate Fine,ROH,001
0000100007,Iron Ore Fines Grade A,ROH,001
0000100008,Zinc Concentrate Grade B,ROH,001
0000100009,Bauxite Standard,ROH,001
0000100010,Silico Manganese Fine,ROH,001
0000100011,Zinc Concentrate Lumpy,ROH,001
0000100012,Bauxite Calcined,ROH,001
0000100013,Limestone Calcined,ROH,001
0000100014,Silico Manganese 45% Zn,ROH,001
0000100015,Bauxite 55% Pb,ROH,001
0000100016,Coke Metallurgical High Purity,ROH,001
0000100017,Fluorspar Grade A,ROH,001
0000100018,Fluorspar Fused,ROH,001
0000100019,Copper Concentrate Calcined,ROH,001
0000100020,Iron Ore Fines Technical Grade,ROH,001
0000100021,Alumina Calcined Premium Grade,ROH,001
0000100022,Bauxite Fused,ROH,001
0000100023,Iron Ore Lumps Grade B,ROH,001
0000100024,Lead Concentrate 45% Zn,ROH,001
0000100025,Iron Ore Lumps Technical Grade,ROH,002
0000100026,Coke Metallurgical High Purity,ROH,002
0000100027,Fluorspar Grade A,ROH,002
0000100028,Dolomite 55% Pb,ROH,002
0000100029,Silico Manganese Grade B,ROH,002
0000100030,Iron Ore Fines Grade B,ROH,002
0000100031,Silico Manganese High Purity,ROH,002
0000100032,Limestone Fine,ROH,002
0000100033,Iron Ore Lumps Fine,ROH,002
0000100034,Bauxite Calcined,ROH,002
0000100035,Lead Concentrate Grade A,ROH,002
0000100036,Limestone Standard,ROH,002
0000100037,Fluorspar High Purity,ROH,002
0000100038,Lead Concentrate Standard,ROH,002
0000100039,Lead Concentrate 45% Zn,ROH,002
0000100040,Alumina Calcined 55% Pb,ROH,002
0000100041,Iron Ore Lumps Premium Grade,ROH,003
0000100042,Iron Ore Lumps Technical Grade,ROH,003
0000100043,Bauxite 40-80mm,ROH,003
0000100044,Alumina Calcined Calcined,ROH,003
0000100045,Limestone 40-80mm,ROH,003
0000100046,Lead Concentrate Fine,ROH,003
0000100047,Limestone Premium Grade,ROH,003
0000100048,Silico Manganese Calcined,ROH,003
0000100049,Bauxite Premium Grade,ROH,003
0000100050,Manganese Ore 45% Zn,ROH,003
0000100051,Alumina Calcined 40-80mm,ROH,003
0000100052,Dolomite Lumpy,ROH,003
0000100053,Bauxite 40-80mm,ROH,003
0000100054,Iron Ore Lumps Fused,ROH,003
0000100055,Fluorspar Grade A,ROH,003
0000100056,Bauxite Grade A,ROH,003
0000100057,Fluorspar Technical Grade,ROH,003
0000100058,Iron Ore Fines High Purity,ROH,003
0000100059,Lead Concentrate Standard,ROH,003
0000100060,Coke Metallurgical Calcined,ROH,003
0000100061,Iron Ore Lumps Standard,ROH,003
0000100062,Limestone 55% Pb,ROH,003
0000100063,Iron Ore Fines 40-80mm,ROH,003
0000100064,Manganese Ore Premium Grade,ROH,003
0000100065,Alumina Calcined Premium Grade,ROH,003
0000100066,Dolomite Lumpy,ROH,004
0000100067,Silico Manganese High Purity,ROH,004
0000100068,Dolomite Fine,ROH,004
0000100069,Iron Ore Fines Fine,ROH,004
0000100070,Iron Ore Fines Technical Grade,ROH,004
0000100071,Bauxite Premium Grade,ROH,004
0000100072,Silico Manganese 55% Pb,ROH,004
0000100073,Lead Concentrate Fused,ROH,004
0000100074,Zinc Concentrate Grade B,ROH,004
0000100075,Copper Concentrate 40-80mm,ROH,004
0000100076,Copper Concentrate Fused,ROH,004
0000100077,Limestone 45% Zn,ROH,004
0000100078,Coke Metallurgical Grade B,ROH,004
0000100079,Iron Ore Fines 45% Zn,ROH,004
0000100080,Coke Metallurgical 55% Pb,ROH,004
0000100081,Silico Manganese High Purity,ROH,004
0000100082,Silico Manganese Grade A,ROH,004
0000100083,Limestone Calcined,ROH,004
0000100084,Limestone Lumpy,ROH,005
0000100085,Fluorspar High Purity,ROH,005
0000100086,Fluorspar 40-80mm,ROH,005
0000100087,Iron Ore Lumps Grade B,ROH,005
0000100088,Alumina Calcined 45% Zn,ROH,005
0000100089,Copper Concentrate 55% Pb,ROH,005
0000100090,Zinc Concentrate Calcined,ROH,005
0000100091,Dolomite High Purity,ROH,005
0000100092,Silico Manganese Fused,ROH,005
0000100093,Copper Concentrate Lumpy,ROH,005
0000100094,Lead Concentrate 40-80mm,ROH,005
0000100095,Alumina Calcined 40-80mm,ROH,005
0000100096,Silico Manganese Fine,ROH,005
0000100097,Bauxite Premium Grade,ROH,005
0000100098,Iron Ore Lumps Fused,ROH,005
0000100099,Copper Concentrate Lumpy,ROH,005
0000100100,Zinc Concentrate Fine,ROH,006
0000100101,Iron Ore Lumps 55% Pb,ROH,006
0000100102,Zinc Concentrate Grade B,ROH,006
0000100103,Iron Ore Lumps Fused,ROH,006
0000100104,Alumina Calcined Standard,ROH,006
0000100105,Zinc Concentrate Standard,ROH,006
0000100106,Coke Metallurgical Grade B,ROH,006
0000100107,Lead Concentrate Calcined,ROH,006
0000100108,Manganese Ore Grade B,ROH,006
0000100109,Fluorspar Lumpy,ROH,006
0000100110,Fluorspar Premium Grade,ROH,006
0000100111,Copper Concentrate 40-80mm,ROH,006
0000100112,Manganese Ore Lumpy,ROH,006
0000100113,Copper Concentrate High Purity,ROH,006
0000100114,Silico Manganese Fine,ROH,006
0000100115,Iron Ore Fines Standard,ROH,006
0000100116,Silico Manganese Fused,ROH,006
0000100117,Dolomite Calcined,ROH,006
0000100118,Bauxite Calcined,ROH,006
0000100119,Alumina Calcined 45% Zn,ROH,006
0000100120,Limestone 40-80mm,ROH,006
