vendor_id,vendor_name,parent_company_group,country,city,account_group,payment_terms_key,is_active
0000100001,Tata Steel Ltd,,IN,Visakhapatnam,ZDOM,ZN60,true
0000100002,Larsen & Toubro Ltd,,IN,Udaipur,ZDOM,ZN90,true
0000100003,Thermax Ltd,,IN,New Delhi,ZDOM,ZN45,true
0000100004,ABB India Ltd,ADANI-GRP,IN,Korba,ZDOM,ZN90,true
0000100005,Siemens India Ltd,,IN,Hyderabad,ZDOM,ZN30,true
0000100006,SKF India Ltd,,IN,Hyderabad,ZDOM,ZN60,true
0000100007,Timken India Ltd,,IN,Jharsuguda,ZDOM,ZN60,true
0000100008,Metso Outotec,,DE,Essen,ZIMP,ZN30,true
0000100009,FLSmidth,SANDVIK-GRP,DE,Essen,ZIMP,ZN45,true
0000100010,Sandvik Mining,,DE,Essen,ZIMP,ZN90,true
0000100011,Caterpillar Inc,,US,Houston,ZIMP,ZN90,true
0000100012,Komatsu Ltd,,JP,Osaka,ZIMP,ZN45,true
0000100013,Cummins India Ltd,,IN,Korba,ZDOM,ZN90,true
0000100014,Kirloskar Brothers Ltd,,IN,Nagpur,ZDOM,ZN30,false
0000100015,Voltas Ltd,,IN,Tuticorin,ZDOM,ZN45,true
0000100016,BHEL,,IN,Kolkata,ZDOM,ZN45,true
0000100017,JSW Steel Ltd,,IN,Korba,ZDOM,ZN90,true
0000100018,Grasim Industries Ltd,,IN,Udaipur,ZDOM,ZN45,true
0000100019,UltraTech Cement Ltd,,IN,Tuticorin,ZDOM,ZN90,true
0000100020,Adani Ports & SEZ Ltd,CATERPILLAR-GRP,IN,Hyderabad,ZDOM,ZN60,true
0000100021,Container Corporation of India,,IN,Hyderabad,ZDOM,ZN60,true
0000100022,Indian Oil Corporation Ltd,,IN,Ahmedabad,ZDOM,ZN60,true
0000100023,Bharat Petroleum Corporation Ltd,SIEMENS-GRP,IN,New Delhi,ZDOM,ZN60,true
0000100024,GAIL India Ltd,,IN,Chennai,ZDOM,ZN45,true
0000100025,Weir Minerals India,,IN,Pune,ZDOM,ZN60,true
0000100026,Flowserve India,,IN,Kolkata,ZDOM,ZN90,true
0000100027,Honeywell Automation India,,IN,New Delhi,ZDOM,ZN45,true
0000100028,Schneider Electric India,,IN,Jaipur,ZDOM,ZN30,true
0000100029,Grundfos Pumps India,,IN,Tuticorin,ZDOM,ZN30,true
0000100030,Tega Industries Ltd,,IN,Nagpur,ZDOM,ZN45,true
0000100031,Malwa Engineering Works,,IN,Udaipur,ZDOM,ZN90,true
0000100032,Desert Engineering Works,,CN,Shanghai,ZIMP,ZN60,true
0000100033,Konkan Trading Co,,IN,New Delhi,ZDOM,ZN90,true
0000100034,Rajasthan Fabricators,METSO-GRP,IN,Nagpur,ZDOM,ZN90,true
0000100035,Shree Balaji Equipment Ltd,,IN,Hyderabad,ZDOM,ZN60,true
0000100036,Nilgiri Engineering Works,,IN,Pune,ZDOM,ZN45,true
0000100037,Konkan Engineering Works,,DE,Essen,ZIMP,ZN30,true
0000100038,Sterling Industrial Corporation,,IN,Nagpur,ZDOM,ZN30,true
0000100039,Desert Enterprises,,IN,Korba,ZIMP,ZN30,true
0000100040,Krishna Trading Co,,IN,Bengaluru,ZSER,ZN90,true
0000100041,Shree Balaji Manufacturing Co,,IN,Hyderabad,ZDOM,ZN90,true
0000100042,Konkan Manufacturing Co,,DE,Essen,ZIMP,ZN90,true
0000100043,Vindhyachal Suppliers Pvt Ltd,,IN,Ahmedabad,ZIMP,ZN45,true
0000100044,Apex Suppliers Pvt Ltd,,IN,Mumbai,ZDOM,ZN30,true
0000100045,Godavari Industrial Corporation,METSO-GRP,IN,Nagpur,ZDOM,ZN90,true
0000100046,Rajasthan Industrial Corporation,,IN,Bengaluru,ZDOM,ZN45,true
0000100047,Ganga Industrial Corporation,,IN,Jaipur,ZDOM,ZN90,true
0000100048,Sahyadri Trading Co,,US,Chicago,ZIMP,ZN60,true
0000100049,Vindhya Engineering Works,,US,Houston,ZIMP,ZN60,true
0000100050,Bharat Overseas Pvt Ltd,,IN,Bengaluru,ZDOM,ZN60,true
0000100051,Orient Equipment Ltd,ABB-GRP,IN,Bengaluru,ZDOM,ZN30,true
0000100052,Ganga Engineering Works,,IN,Mumbai,ZDOM,ZN45,true
0000100053,Desert Engineering Works (0053),,IN,Tuticorin,ZDOM,ZN45,true
0000100054,Narmada Industries,,IN,Bengaluru,ZIMP,ZN45,true
0000100055,Krishna Industrial Corporation,,CN,Shanghai,ZIMP,ZN90,true
0000100056,Vindhya Trading Co,,US,Houston,ZIMP,ZN90,true
0000100057,Sterling Equipment Ltd,CATERPILLAR-GRP,IN,Tuticorin,ZIMP,ZN30,true
0000100058,Sahyadri Industrial Corporation,,JP,Tokyo,ZIMP,ZN45,true
0000100059,Deccan Suppliers Pvt Ltd,,IN,Udaipur,ZDOM,ZN30,true
0000100060,Precision Manufacturing Co,,CN,Shanghai,ZIMP,ZN30,true
0000100061,Rajasthan Industries,,IN,Ahmedabad,ZDOM,ZN45,true
0000100062,Malwa Overseas Pvt Ltd,,IN,Bhilwara,ZDOM,ZN45,true
0000100063,Rajasthan Overseas Pvt Ltd,,IN,New Delhi,ZDOM,ZN90,true
0000100064,Vindhyachal Overseas Pvt Ltd,SANDVIK-GRP,IN,Visakhapatnam,ZDOM,ZN30,true
0000100065,Vindhyachal Engineering Works,,IN,Kolkata,ZDOM,ZN90,true
0000100066,Apex Overseas Pvt Ltd,,IN,Tuticorin,ZIMP,ZN90,true
0000100067,National Enterprises,,IN,New Delhi,ZDOM,ZN45,false
0000100068,Precision Industrial Corporation,,IN,New Delhi,ZDOM,ZN60,true
0000100069,Deccan Overseas Pvt Ltd,,IN,Bengaluru,ZDOM,ZN90,true
0000100070,Mewar Overseas Pvt Ltd,WEIR-GRP,IN,Chennai,ZDOM,ZN60,true
0000100071,Godavari Engineering Works,,IN,Jaipur,ZDOM,ZN60,true
0000100072,Krishna Engineering Works,,IN,New Delhi,ZIMP,ZN30,true
0000100073,Cauvery Manufacturing Co,,IN,Nagpur,ZDOM,ZN60,true
0000100074,Rajasthan Technologies Pvt Ltd,,AU,Perth,ZIMP,ZN60,true
0000100075,Yamuna Fabricators,,DE,Munich,ZIMP,ZN30,true
0000100076,Bharat Technologies Pvt Ltd,,IN,Bengaluru,ZIMP,ZN90,true
0000100077,Narmada Engineering Works,,IN,Ahmedabad,ZDOM,ZN60,true
0000100078,Aravali Engineering Works,ABB-GRP,IN,Ahmedabad,ZDOM,ZN60,true
0000100079,Vindhyachal Trading Co,WEIR-GRP,IN,Jaipur,ZDOM,ZN60,true
0000100080,Mewar Fabricators,,KR,Seoul,ZIMP,ZN60,true
0000100081,Om Sai Suppliers Pvt Ltd,,IN,Tuticorin,ZDOM,ZN30,false
0000100082,Precision Industries,,IN,Udaipur,ZDOM,ZN60,true
0000100083,Deccan Technologies Pvt Ltd,,CN,Shanghai,ZIMP,ZN45,true
0000100084,Shree Balaji Fabricators,,IN,Pune,ZDOM,ZN30,true
0000100085,Sahyadri Industrial Corporation (0085),METSO-GRP,IN,Tuticorin,ZDOM,ZN60,false
0000100086,Marwar Engineering Works,,IN,Hyderabad,ZDOM,ZN45,true
0000100087,Desert Trading Co,,IN,Pune,ZDOM,ZN90,false
0000100088,Aravali Manufacturing Co,,IN,Hyderabad,ZDOM,ZN30,true
0000100089,Nilgiri Equipment Ltd,,IN,Jaipur,ZDOM,ZN90,true
0000100090,Krishna Engineering Works (0090),,IN,Udaipur,ZSER,ZN45,true
