invoice_number,invoice_date,po_number,vendor_id,category_code,plant_code,invoice_value_inr,currency
5100037979,2025-02-12,4500002975,0000014341,017,3300,13725.34,INR
5100009911,2023-04-23,4500009239,0000012435,053,4400,20968.2,INR
5100043386,2024-09-17,,0000013728,017,2200,149704.25,INR
5100013822,2023-06-28,4500002726,0000012689,016,6600,194557.06,INR
5100044810,2024-06-18,,0000012812,002,6600,17302.66,INR
5100018495,2025-06-30,4500004914,0000014957,032,7700,1595299.45,USD
5100025555,2023-08-23,4500013703,0000012876,074,1100,27564.37,INR
5100013316,2025-08-19,4500000641,0000014186,004,4400,573722.25,INR
5100012929,2024-12-16,4500005202,0000014331,033,3300,888516.17,INR
5100028374,2025-08-28,4500007276,0000014354,044,7700,1898042.83,INR
5100043684,2023-07-13,,0000013165,020,6600,51995.79,INR
5100026716,2025-12-14,4500006504,0000013995,040,1100,1059325.85,INR
5100001570,2024-08-02,4500000549,0000014303,004,3300,519856.82,INR
5100040273,2025-08-25,,0000014038,024,3300,14631.17,INR
5100010855,2023-02-17,4500008988,0000015031,052,4400,28946.41,INR
5100008718,2025-03-19,4500009981,0000012696,056,3300,11574.25,INR
5100021247,2024-04-08,4500010885,0000013186,061,6600,273390.21,INR
5100030423,2023-12-17,4500011569,0000014942,064,6600,571338.58,INR
5100019495,2024-07-03,4500012759,0000013396,071,7700,5097.36,INR
5100007615,2023-09-09,4500008354,0000013336,049,5500,37997.49,USD
5100017515,2023-03-14,4500007278,0000014279,044,4400,49550.67,INR
5100030443,2023-03-28,4500014120,0000014555,075,6600,5250.5,INR
5100030602,2023-04-28,4500006348,0000013568,040,1100,95840.86,INR
5100001388,2024-01-28,4500003950,0000013698,026,3300,527018.26,INR
5100037633,2024-09-22,4500000117,0000013965,001,3300,536063.49,INR
5100021716,2025-03-24,4500007900,0000014740,048,5500,259021.09,INR
5100033138,2023-10-09,4500012102,0000014523,067,4400,52934.14,INR
5100010852,2024-11-20,4500005357,0000015089,034,1100,989983.85,INR
5100021964,2025-07-05,4500004434,0000014410,029,2200,525137.45,INR
5100009354,2023-01-24,4500003888,0000014652,026,5500,445968.08,INR
5100025946,2025-04-11,4500013062,0000015006,072,7700,5097.78,INR
5100024780,2024-10-28,4500008492,0000012786,050,7700,20338.73,INR
5100041447,2023-01-08,,0000014411,037,1100,10086.37,INR
5100027245,2023-03-06,4500006494,0000014655,040,2200,93988.96,INR
5100043592,2025-05-01,,0000012496,038,5500,44033.11,INR
5100029814,2025-10-22,4500011576,0000014942,064,7700,217406.01,INR
5100029041,2024-03-03,4500002070,0000013588,012,5500,9913.0,INR
5100011275,2025-01-29,4500014278,0000012902,075,5500,65167.24,INR
5100014006,2024-09-17,4500003307,0000013330,018,3300,9957.52,INR
5100011899,2023-07-22,4500006366,0000013568,040,3300,105185.86,INR
5100006807,2023-09-20,4500000959,0000013109,007,5500,517561.71,INR
5100040409,2025-11-07,,0000014212,030,3300,747725.18,INR
5100019536,2025-08-19,4500005423,0000013501,035,6600,1162918.58,INR
5100015837,2025-12-06,4500002995,0000014035,017,3300,12883.1,INR
5100027159,2024-01-13,4500009198,0000015058,053,1100,200953.99,INR
5100003016,2024-11-24,4500000886,0000013342,006,3300,470739.61,INR
5100043195,2025-08-21,,0000014949,050,6600,228478.6,INR
5100004729,2025-04-14,4500002080,0000012678,012,2200,10009.67,INR
5100018754,2025-06-07,4500001598,0000014424,010,4400,11795.44,INR
5100028326,2023-10-17,4500000023,0000013965,001,3300,917657.89,INR
5100009661,2024-05-16,4500013301,0000014570,073,4400,5070.34,INR
5100010229,2024-11-29,4500007920,0000014646,048,2200,36036799.01,INR
5100043562,2025-10-13,,0000012345,047,3300,64228.01,INR
5100016207,2024-07-15,4500013976,0000012902,075,2200,6720.56,INR
5100044959,2023-08-28,,0000014154,044,1100,339859.32,INR
5100042192,2024-06-03,,0000013709,017,1100,141824.61,INR
5100004193,2024-11-17,4500007896,0000014848,048,3300,45985.11,INR
5100024676,2023-05-17,4500009925,0000015067,055,1100,9744.65,INR
5100030086,2024-12-02,4500007071,0000013279,043,2200,95789.18,INR
5100006736,2025-07-03,4500001881,0000013470,011,7700,10411.53,INR
5100010520,2025-09-15,4500003446,0000014652,020,5500,4975514.57,USD
5100007707,2023-06-21,4500002138,0000014901,013,7700,9976.1,INR
5100031167,2025-08-11,4500002513,0000014020,016,7700,19504.82,INR
5100036149,2024-03-05,4500005882,0000014783,038,5500,104072.65,INR
5100004518,2024-07-29,4500008667,0000014527,051,2200,21482.25,INR
5100010500,2024-10-12,4500012733,0000014020,071,6600,5385.33,INR
5100012570,2024-03-28,4500011020,0000013186,061,3300,203157.17,INR
5100033223,2025-01-28,4500004727,0000014208,031,3300,481712.45,INR
5100040307,2023-02-27,,0000014009,007,5500,4674086.4,INR
5100025047,2023-03-30,4500001560,0000012345,010,3300,10969.31,INR
5100009351,2024-03-07,4500003070,0000013844,017,3300,10243.88,INR
5100034390,2023-02-03,4500014060,0000012630,075,1100,4509.82,INR
5100004538,2025-07-18,4500011786,0000013489,065,2200,49452.83,INR
5100003863,2025-07-04,4500010859,0000013149,061,6600,1725197.39,USD
5100042936,2025-07-23,,0000015041,047,4400,898614.15,INR
5100013620,2023-12-28,4500000929,0000013227,006,2200,536017.39,INR
5100025082,2023-11-22,4500009064,0000015041,052,7700,148654.62,INR
5100008919,2024-01-10,4500002355,0000014699,015,6600,10426.05,USD
5100037850,2025-10-09,4500010813,0000012359,061,1100,646637.69,INR
5100040136,2025-10-12,,0000012404,041,1100,137371.35,INR
5100034857,2023-10-03,4500006135,0000012348,039,2200,101537.63,INR
5100042954,2023-10-25,,0000014113,015,5500,15667.57,INR
5100017247,2025-12-31,4500012697,0000013492,071,3300,21283.88,INR
5100018392,2024-05-15,4500002102,0000014621,012,2200,142824.23,INR
5100015423,2025-07-25,4500007763,0000013291,047,3300,47953.81,INR
5100033301,2025-12-24,4500002055,0000015067,012,6600,21717.64,INR
5100003401,2025-12-14,4500004750,0000014208,031,6600,514246.34,INR
5100006100,2023-03-05,4500009518,0000014411,054,5500,3661179.46,INR
5100041230,2023-11-25,,0000015058,070,7700,17708.45,INR
5100004419,2025-04-24,4500003609,0000013867,022,3300,5240633.78,EUR
5100015226,2024-03-25,4500002670,0000012902,016,1100,13502.99,INR
5100042786,2025-06-13,,0000013010,056,4400,13817.79,INR
5100018335,2023-12-16,4500006022,0000012354,039,1100,97624.71,INR
5100012830,2025-01-31,4500002113,0000015067,012,6600,10470.39,INR
5100008124,2025-08-09,4500007320,0000014972,044,7700,49637.32,INR
5100006316,2025-04-28,4500009488,0000012879,054,7700,2274831.9,INR
5100024189,2023-04-22,4500007292,0000013086,044,4400,49835.19,INR
5100026596,2024-12-29,4500013251,0000014385,072,6600,5043.69,INR
5100043366,2023-02-17,,0000014563,059,1100,91508.73,INR
5100013847,2025-12-31,4500000038,0000013965,001,3300,747536.45,INR
5100035154,2023-12-08,4500009319,0000012902,054,5500,9964.54,INR
5100004157,2023-01-22,4500003463,0000014652,020,7700,64741396.02,USD
5100036830,2023-02-09,4500011648,0000014843,064,7700,140845162.89,INR
5100023146,2025-03-19,4500003838,0000014672,025,4400,502147.2,USD
5100013817,2023-12-17,4500011653,0000015071,064,3300,48027.09,EUR
5100031735,2025-02-03,4500009034,0000014948,052,4400,18627.92,INR
5100034354,2025-12-16,4500009229,0000014272,053,2200,19980.08,INR
5100012733,2025-12-31,4500002703,0000012915,016,6600,11662.24,INR
5100014858,2023-12-27,4500002174,0000014901,013,3300,10622.52,USD
5100002705,2023-11-24,4500010906,0000013131,061,1100,210738.12,INR
5100003029,2025-09-03,4500002581,0000012915,016,7700,10357.34,INR
5100036943,2023-09-02,4500003144,0000012689,017,1100,9390.67,INR
5100013267,2025-01-18,4500006471,0000013175,040,7700,104522.63,INR
5100002624,2023-06-09,4500001383,0000012345,009,3300,10210.61,INR
5100022664,2024-01-27,4500001296,0000012807,009,1100,9327.71,INR
5100007262,2023-05-24,4500001985,0000015067,012,2200,65572.27,INR
5100042252,2023-07-24,,0000013109,038,5500,103269.32,INR
5100002296,2025-10-08,4500006550,0000012826,041,3300,121491.14,INR
5100038469,2023-06-18,,0000012832,042,2200,536272.95,INR
5100033213,2023-08-03,4500005999,0000012348,039,7700,181085.17,INR
5100031863,2025-05-21,4500010570,0000013456,059,2200,210626.97,INR
5100009545,2023-02-21,4500005840,0000013043,038,7700,371953.11,EUR
5100011605,2023-12-07,4500000907,0000013227,006,2200,473064.61,INR
5100004741,2024-07-17,4500001793,0000014465,010,5500,10397.86,INR
5100021960,2025-10-05,4500008276,0000012601,049,2200,21662.19,INR
5100031470,2024-11-06,4500008239,0000014041,049,1100,25236.93,INR
5100015158,2023-10-13,4500000133,0000014406,001,3300,806662.96,INR
5100005533,2023-03-11,4500011426,0000012646,063,5500,50802.25,INR
5100043906,2025-12-25,,0000014469,058,5500,8968.23,INR
5100018552,2025-12-03,4500004940,0000012488,032,7700,1013716.66,INR
5100023394,2025-10-28,4500012906,0000013492,071,2200,4812.04,INR
5100040148,2023-07-11,,0000014624,057,5500,3284.24,INR
5100041696,2025-05-24,,0000013554,053,5500,1392452.79,INR
5100037869,2023-09-11,4500007453,0000013999,045,5500,154798.78,INR
5100006184,2023-07-04,4500014295,0000013239,075,7700,4985.51,INR
5100028061,2023-04-28,4500011410,0000014194,063,5500,51196.27,INR
5100032098,2024-10-02,4500012478,0000012852,069,2200,51888.58,INR
5100027638,2025-04-24,4500006370,0000014655,040,1100,105821.25,INR
5100024012,2023-06-05,4500000975,0000013109,007,6600,571419.03,INR
5100001114,2023-06-01,4500010999,0000013149,061,6600,16720636.37,EUR
5100019016,2024-01-28,4500007857,0000013360,047,6600,50811.53,INR
5100006605,2024-04-01,4500013557,0000013324,073,3300,106205.78,INR
5100040243,2025-10-19,,0000013100,031,1100,224532.62,INR
