po_number,po_item,vendor_id,category_code,plant_code,po_date,net_value_inr,quantity,unit,currency,doc_type,is_deleted
4500008413,20,0000012786,050,4400,2023-11-15,6566983.02,2142.34,EA,INR,NB,False
4500007934,40,0000012955,048,6600,2025-09-06,50928.05,690.06,EA,INR,NB,False
4500013659,20,0000012876,074,2200,2025-02-26,5000.0,3616.15,SET,USD,NB,False
4500003000,30,0000013219,017,5500,2023-03-25,10000.04,3055.06,EA,USD,UB,False
4500007050,40,0000013279,043,1100,2023-04-14,43419037.93,2896.25,EA,INR,FO,False
4500005317,20,0000015057,034,1100,2023-08-27,1000001.03,2117.31,EA,INR,MK,False
4500002600,30,0000012672,016,7700,2023-06-28,11647.56,3000.3,KG,INR,NB,False
4500004485,10,0000014172,029,6600,2025-09-10,500015.16,28.21,L,INR,NB,False
4500010153,30,0000012770,057,6600,2023-03-25,10067.94,3866.65,EA,USD,NB,False
4500007380,10,0000012593,045,3300,2023-02-26,63246.23,2914.8,EA,INR,NB,False
4500006581,30,0000013120,041,5500,2024-05-21,100113.08,1285.27,L,INR,MK,False
4500004296,10,0000012666,028,2200,2024-07-25,500000.0,2860.98,LOT,INR,MK,False
4500008088,40,0000014751,048,6600,2025-03-21,3393710.54,4296.28,SET,INR,NB,False
4500005018,60,0000013646,032,6600,2023-12-13,29013936.76,365.09,SET,INR,MK,False
4500006644,30,0000012348,041,3300,2025-11-08,116271.45,1198.9,SET,INR,MK,False
4500008723,20,0000013131,051,6600,2024-07-04,20030.03,3408.69,SET,INR,NB,False
4500007389,30,0000013137,045,3300,2023-07-10,50000.0,2089.1,L,INR,NB,False
4500008894,50,0000014415,051,2200,2023-08-15,22078.42,3003.14,SET,INR,NB,False
4500005713,10,0000014885,037,6600,2025-07-25,134318.36,130.62,SET,INR,NB,False
4500001253,20,0000012348,009,5500,2023-03-25,119782.69,749.66,KG,INR,NB,False
4500007007,40,0000013302,043,3300,2023-11-19,100002.3,143.56,EA,INR,FO,False
4500007779,10,0000013031,047,7700,2025-06-06,123448.33,132.56,EA,INR,MK,False
4500000549,40,0000014303,004,3300,2024-07-24,969269.05,2805.18,EA,INR,FO,False
4500007811,30,0000013291,047,3300,2025-06-03,69785.47,3824.57,LOT,INR,NB,False
4500006571,10,0000012354,041,4400,2024-12-07,118360.09,2366.35,EA,INR,FO,False
4500002937,30,0000013840,017,6600,2024-08-18,10002.82,918.83,KG,INR,FO,False
4500008787,30,0000014415,051,1100,2025-07-10,20099.75,1886.79,EA,INR,FO,False
4500004252,20,0000012700,028,1100,2023-03-18,3132141.35,3320.1,L,INR,FO,False
4500008747,20,0000013336,051,1100,2025-10-29,22297.34,4266.79,SET,INR,MK,False
4500001104,40,0000012470,008,6600,2025-11-09,1082895.61,4381.24,LOT,EUR,NB,False
4500004318,20,0000012408,028,1100,2023-12-05,500077.62,3042.0,LOT,INR,MK,False
4500000607,50,0000013031,004,4400,2024-04-01,500000.02,2354.65,MT,INR,MK,False
4500004191,30,0000013142,028,1100,2025-07-28,507446.26,4260.05,EA,INR,NB,False
4500006618,10,0000014454,041,1100,2023-03-14,100595.0,3629.94,L,USD,MK,False
4500007620,30,0000013107,046,3300,2025-04-09,50000.01,4727.13,L,INR,UB,False
4500007341,10,0000014032,044,4400,2023-02-07,960553.95,4074.01,KG,INR,NB,False
4500000786,20,0000013741,006,2200,2025-08-21,45712842.42,2675.21,KG,INR,NB,False
4500007008,10,0000013481,043,1100,2025-09-22,100153.85,1880.23,L,INR,NB,False
4500006632,10,0000012354,041,4400,2025-03-06,100462.63,955.11,EA,INR,NB,False
4500013903,50,0000013071,074,2200,2025-11-04,21291.44,2118.74,L,INR,NB,False
4500000958,10,0000013109,007,7700,2025-08-07,577881.25,1653.33,EA,INR,MK,False
4500013283,20,0000014424,073,3300,2023-01-10,5000.65,3974.02,EA,INR,NB,False
4500006801,30,0000012348,041,5500,2023-02-17,100000.0,491.48,SET,INR,MK,False
4500001697,30,0000012345,010,5500,2024-11-09,72667.43,3628.96,EA,INR,NB,False
