po_number,po_item,po_date,vendor_id,vendor_name,parent_company_group,category_code,category_name,category_l1,category_l2,plant_code,plant_name,region,net_value_inr,quantity,unit,currency,doc_type,contract_number,is_deleted
4500000001,10,2024-01-25,0000100153,Precision Engineering Works,,M014,Motor Spares,MRO & Spares,Motor Spares,COG1,Cairn Oil & Gas,Rajasthan,6074838,7,EA,EUR,NB,46000001,false
4500000001,20,2024-01-25,0000100100,Bharat Fabricators,,M049,Gas Detectors,Safety & PPE,Gas Detectors,COG1,Cairn Oil & Gas,Rajasthan,950618,12,EA,INR,UB,,false
4500000001,30,2024-01-25,0000100073,Cauvery Manufacturing Co,,M023,Civil Works,Services,Civil Works,COG1,Cairn Oil & Gas,Rajasthan,44597927,12,LOT,INR,FO,46000002,false
4500000002,10,2025-04-16,0000100118,Malwa Suppliers Pvt Ltd,,M014,Motor Spares,MRO & Spares,Motor Spares,COG1,Cairn Oil & Gas,Rajasthan,6606364,15,EA,INR,UB,,false
4500000002,20,2025-04-16,0000100096,Krishna Industries,,M040,Road Transport,Logistics & Transport,Road Transport,COG1,Cairn Oil & Gas,Rajasthan,3794525,12,LOT,INR,NB,,false
4500000003,10,2025-10-23,0000100139,Satpura Manufacturing Co,TATA-GRP,M007,Bearings,MRO & Spares,Bearings,STC1,Sterlite Copper,Tamil Nadu,6250647,18,EA,INR,FO,46000003,false
4500000003,20,2025-10-23,0000100003,Thermax Ltd,,M039,Rail Freight,Logistics & Transport,Rail Freight,STC1,Sterlite Copper,Tamil Nadu,6448933,41,LOT,INR,NB,,false
4500000003,30,2025-10-23,0000100022,Indian Oil Corporation Ltd,,M050,Safety Footwear,Safety & PPE,Safety Footwear,STC1,Sterlite Copper,Tamil Nadu,1058856,24,EA,INR,NB,46000004,false
4500000004,10,2025-10-04,0000100083,Deccan Technologies Pvt Ltd,,M010,Conveyor Components,MRO & Spares,Conveyor Components,HZL1,Hindustan Zinc,Rajasthan,931814,8,EA,EUR,FO,,false
4500000004,20,2025-10-04,0000100108,Malwa Fabricators,,M006,Iron Ore Fines,Raw Materials,Iron Ore Fines,HZL1,Hindustan Zinc,Rajasthan,17223724,169,MT,INR,NB,46000005,false
4500000004,30,2025-10-04,0000100050,Bharat Overseas Pvt Ltd,,M035,Furnace Oil,Fuel & Energy,Furnace Oil,HZL1,Hindustan Zinc,Rajasthan,61244004,417,L,INR,UB,46000006,false
4500000004,40,2025-10-04,0000100129,Nilgiri Enterprises,,M062,PLC & DCS Systems,Instrumentation,PLC & DCS Systems,HZL1,Hindustan Zinc,Rajasthan,1740871,43,SET,INR,FO,46000007,false
4500000004,50,2025-10-04,0000100071,Godavari Engineering Works,,M004,Bauxite,Raw Materials,Bauxite,HZL1,Hindustan Zinc,Rajasthan,110717197,472,MT,INR,FO,46000008,false
4500000005,10,2024-11-28,0000100060,Precision Manufacturing Co,,M065,Pallets & Crates,Packaging,Pallets & Crates,VAL1,Vedanta Aluminium,Odisha,663969,37,EA,EUR,NB,46000009,false
4500000005,20,2024-11-28,0000100149,Krishna Equipment Ltd (0149),,M025,Housekeeping Services,Services,Housekeeping Services,VAL1,Vedanta Aluminium,Odisha,8329788,17,LOT,INR,NB,46000010,false
4500000005,30,2024-11-28,0000100090,Krishna Engineering Works (0090),,M063,Bags & Sacks,Packaging,Bags & Sacks,VAL1,Vedanta Aluminium,Odisha,1411736,29,EA,INR,NB,,false
4500000005,40,2024-11-28,0000100121,Satpura Overseas Pvt Ltd,,M005,Alumina,Raw Materials,Alumina,VAL1,Vedanta Aluminium,Odisha,40866093,458,MT,INR,NB,,false
4500000005,50,2024-11-28,0000100116,Deccan Industries,,M051,Cement,Civil & Construction,Cement,VAL1,Vedanta Aluminium,Odisha,6809361,36,EA,INR,UB,46000011,false
4500000006,10,2023-02-25,0000100126,Marwar Equipment Ltd,,M061,Control Valves,Instrumentation,Control Valves,HZL1,Hindustan Zinc,Rajasthan,19346803,49,SET,INR,NB,46000012,false
4500000006,20,2023-02-25,0000100018,Grasim Industries Ltd,,M059,Flow Meters,Instrumentation,Flow Meters,HZL1,Hindustan Zinc,Rajasthan,29286147,35,SET,INR,MK,46000013,false
4500000006,30,2023-02-25,0000100153,Precision Engineering Works,,M035,Furnace Oil,Fuel & Energy,Furnace Oil,HZL1,Hindustan Zinc,Rajasthan,8441212,401,MT,INR,MK,46000014,false
4500000006,40,2023-02-25,0000100021,Container Corporation of India,,M023,Civil Works,Services,Civil Works,HZL1,Hindustan Zinc,Rajasthan,8864217,3,LOT,INR,NB,,false
4500000006,50,2023-02-25,0000100051,Orient Equipment Ltd,ABB-GRP,M005,Alumina,Raw Materials,Alumina,HZL1,Hindustan Zinc,Rajasthan,47014573,258,MT,INR,UB,,false
4500000007,10,2024-09-29,0000100134,Nilgiri Equipment Ltd (0134),,M061,Control Valves,Instrumentation,Control Valves,HZL1,Hindustan Zinc,Rajasthan,4935213,47,SET,INR,NB,46000015,false
4500000007,20,2024-09-29,0000100117,Yamuna Suppliers Pvt Ltd,WEIR-GRP,M041,Port Handling,Logistics & Transport,Port Handling,HZL1,Hindustan Zinc,Rajasthan,8991367,46,LOT,INR,NB,,false
4500000007,30,2024-09-29,0000100026,Flowserve India,,M045,Network Services,IT & Telecom,Network Services,HZL1,Hindustan Zinc,Rajasthan,6640144,36,LOT,INR,UB,46000017,false
4500000007,40,2024-09-29,0000100041,Shree Balaji Manufacturing Co,,M029,Frothers,Chemicals & Reagents,Frothers,HZL1,Hindustan Zinc,Rajasthan,2085878,130,L,INR,NB,46000018,false
4500000008,10,2023-08-27,0000100114,Yamuna Equipment Ltd,,M009,Pumps,MRO & Spares,Pumps,COG1,Cairn Oil & Gas,Rajasthan,525356,46,EA,INR,MK,46000019,false
4500000008,20,2023-08-27,0000100098,Mewar Industries,,M010,Conveyor Components,MRO & Spares,Conveyor Components,COG1,Cairn Oil & Gas,Rajasthan,1811577,1,SET,INR,NB,46000020,false
4500000008,30,2023-08-27,0000100036,Nilgiri Engineering Works,,M045,Network Services,IT & Telecom,Network Services,COG1,Cairn Oil & Gas,Rajasthan,1627735,12,LOT,INR,MK,46000021,false
4500000008,40,2023-08-27,0000100100,Bharat Fabricators,,M057,Switchgear,Electrical,Switchgear,COG1,Cairn Oil & Gas,Rajasthan,1485124,13,SET,INR,NB,46000022,false
4500000009,10,2024-10-09,0000100025,Weir Minerals India,,M049,Gas Detectors,Safety & PPE,Gas Detectors,COR1,Corporate / Shared Services,Maharashtra,2427112,35,EA,INR,NB,,false
4500000010,10,2024-06-20,0000100104,Vindhya Equipment Ltd,,M014,Motor Spares,MRO & Spares,Motor Spares,HZL1,Hindustan Zinc,Rajasthan,1179829,48,SET,INR,NB,46000023,false
4500000010,20,2024-06-20,0000100098,Mewar Industries,,M030,Sulphuric Acid,Chemicals & Reagents,Sulphuric Acid,HZL1,Hindustan Zinc,Rajasthan,9230387,360,L,INR,NB,46000024,false
4500000010,30,2024-06-20,0000100067,National Enterprises,,M011,Grinding Media,MRO & Spares,Grinding Media,HZL1,Hindustan Zinc,Rajasthan,2127901,2,EA,INR,NB,46000025,false
4500000011,10,2023-07-27,0000100119,Godavari Manufacturing Co (0119),FLS-GRP,M045,Network Services,IT & Telecom,Network Services,HZL1,Hindustan Zinc,Rajasthan,2564693,21,EA,INR,NB,46000026,false
4500000011,20,2023-07-27,0000100054,Narmada Industries,,M001,Zinc Concentrate,Raw Materials,Zinc Concentrate,HZL1,Hindustan Zinc,Rajasthan,12787872,346,MT,EUR,NB,46000027,false
4500000011,30,2023-07-27,0000100080,Mewar Fabricators,,M001,Zinc Concentrate,Raw Materials,Zinc Concentrate,HZL1,Hindustan Zinc,Rajasthan,39165457,202,MT,USD,NB,46000028,false
4500000011,40,2023-07-27,0000100160,Deccan Fabricators,,M008,Seals & Gaskets,MRO & Spares,Seals & Gaskets,HZL1,Hindustan Zinc,Rajasthan,11980768,12,EA,INR,UB,,false
4500000012,10,2023-01-20,0000100044,Apex Suppliers Pvt Ltd,,M052,Steel Structures,Civil & Construction,Steel Structures,VAL1,Vedanta Aluminium,Odisha,12664371,267,MT,INR,NB,,false
4500000013,10,2024-12-23,0000100071,Godavari Engineering Works,,M042,Shipping & Freight Forwarding,Logistics & Transport,Shipping & Freight Forwarding,COG1,Cairn Oil & Gas,Rajasthan,17041633,21,LOT,INR,NB,,false
4500000013,20,2024-12-23,0000100136,Rajasthan Trading Co,ABB-GRP,M039,Rail Freight,Logistics & Transport,Rail Freight,COG1,Cairn Oil & Gas,Rajasthan,9174412,36,LOT,INR,NB,,false
4500000013,30,2024-12-23,0000100007,Timken India Ltd,,M007,Bearings,MRO & Spares,Bearings,COG1,Cairn Oil & Gas,Rajasthan,2900936,24,EA,INR,NB,46000029,false
4500000013,40,2024-12-23,0000100048,Sahyadri Trading Co,,M025,Housekeeping Services,Services,Housekeeping Services,COG1,Cairn Oil & Gas,Rajasthan,23650662,15,LOT,USD,NB,46000030,false
4500000013,50,2024-12-23,0000100092,Cauvery Trading Co,,M034,Diesel,Fuel & Energy,Diesel,COG1,Cairn Oil & Gas,Rajasthan,35090515,58,L,USD,NB,46000031,false
4500000014,10,2025-06-07,0000100107,Om Sai Enterprises,,M009,Pumps,MRO & Spares,Pumps,VAL1,Vedanta Aluminium,Odisha,2879723,14,EA,USD,NB,46000032,false
4500000014,20,2025-06-07,0000100126,Marwar Equipment Ltd,,M006,Iron Ore Fines,Raw Materials,Iron Ore Fines,VAL1,Vedanta Aluminium,Odisha,77623644,473,MT,INR,NB,,false
4500000014,30,2025-06-07,0000100014,Kirloskar Brothers Ltd,,M048,Fire Safety Equipment,Safety & PPE,Fire Safety Equipment,VAL1,Vedanta Aluminium,Odisha,3476544,2,EA,INR,FO,46000034,false
4500000014,40,2025-06-07,0000100111,Apex Trading Co,METSO-GRP,M044,Software Licenses,IT & Telecom,Software Licenses,VAL1,Vedanta Aluminium,Odisha,17472825,23,LOT,USD,UB,46000035,false
